section,seconds,count,seconds_per_call,seconds_per_SPEC,percent_wall,wall_total_seconds,cpu_process_seconds,cpu_process_over_wall,n_fft_done
midas_next_event,404.06276844395325,1067,0.3786905046335082,0.47536796287523914,59.89393528223723,674.6305223390227,669.916774007,0.9930128445483319,850
SPEC_event_total,270.3767194787506,850,0.31809025821029485,0.31809025821029485,40.07774782281166,674.6305223390227,669.916774007,0.9930128445483319,850
SPEC_decode_numpy,254.43813881988171,850,0.2993389868469197,0.2993389868469197,37.71518340701737,674.6305223390227,669.916774007,0.9930128445483319,850
SPEC_fft_all_modes_total,14.092021452146582,850,0.016578848767231272,0.016578848767231272,2.0888502647772147,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM010.h2d_or_array_select,3.3595490901498124,850,0.003952410694293897,0.003952410694293897,0.497983559727162,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM012.h2d_or_array_select,3.223251807852648,850,0.0037920609504148804,0.0037920609504148804,0.4777803110178381,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM011.h2d_or_array_select,3.21189359377604,850,0.0037786983456188704,0.0037786983456188704,0.47609669106580443,674.6305223390227,669.916774007,0.9930128445483319,850
SPEC_pps_threshold,1.5812001075828448,850,0.0018602354206856998,0.0018602354206856998,0.23438016146981308,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM010.dc_remove,0.5347207805607468,850,0.0006290832712479374,0.0006290832712479374,0.07926127900451457,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM010.window,0.3486060645664111,850,0.00041012478184283656,0.00041012478184283656,0.051673627715175585,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM010.power_reduce,0.3013815487502143,850,0.00035456652794142854,0.00035456652794142854,0.044673571498853815,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM011.dc_remove,0.2714081881567836,850,0.0003193037507726866,0.0003193037507726866,0.040230641687509144,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM012.dc_remove,0.2659507910721004,850,0.00031288328361423574,0.00031288328361423574,0.039421695619406304,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM011.power_reduce,0.1916769326198846,850,0.0002255022736704525,0.0002255022736704525,0.028412134683043738,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM012.power_reduce,0.18916409939993173,850,0.00022254599929403732,0.00022254599929403732,0.02803965921139733,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM011.window,0.1840445790439844,850,0.00021652303416939343,0.00021652303416939343,0.027280796369230434,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM010.fft,0.18341245490591973,850,0.00021577935871284673,0.00021577935871284673,0.027187097060181527,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM012.window,0.18051472830120474,850,0.00021237026858965264,0.00021237026858965264,0.026757569117290915,674.6305223390227,669.916774007,0.9930128445483319,850
SPEC_cleanup_python,0.1754265580093488,850,0.00020638418589335154,0.00020638418589335154,0.02600335327271059,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM010.fftshift,0.14748698542825878,850,0.00017351410050383384,0.00017351410050383384,0.021861890404380784,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM010.freq_cpu,0.13155461847782135,850,0.00015477013938567218,0.00015477013938567218,0.01950024704214481,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM010.build_complex,0.13143210776615888,850,0.00015462600913665752,0.00015462600913665752,0.019482087366943974,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM011.fftshift,0.11162404343485832,850,0.00013132240404100978,0.00013132240404100978,0.016545952152868023,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM012.fftshift,0.10958902281709015,850,0.00012892826213775312,0.00012892826213775312,0.01624430250163189,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM011.freq_cpu,0.09976100642234087,850,0.00011736588990863632,0.00011736588990863632,0.014787502657967182,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM012.freq_cpu,0.09689311485271901,850,0.00011399189982672825,0.00011399189982672825,0.014362397140997902,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM011.fft,0.08188625902403146,850,9.633677532238996e-05,9.633677532238996e-05,0.0121379416306458,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM012.fft,0.07965203386265785,850,9.370827513253864e-05,9.370827513253864e-05,0.011806764032332091,674.6305223390227,669.916774007,0.9930128445483319,850
event_header_and_banknames,0.07776955480221659,1066,7.295455422346772e-05,9.14935938849607e-05,0.011527725507079116,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM011.build_complex,0.0758369182003662,850,8.92199037651367e-05,8.92199037651367e-05,0.011241252165323139,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM012.build_complex,0.0751834639813751,850,8.845113409573541e-05,8.845113409573541e-05,0.011144391113628428,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM010.d2h_result,0.05490705126430839,850,6.459653089918635e-05,6.459653089918635e-05,0.0081388329531755,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM011.d2h_result,0.05130514979828149,850,6.0358999762684105e-05,6.0358999762684105e-05,0.00760492567404163,674.6305223390227,669.916774007,0.9930128445483319,850
fft.TM012.d2h_result,0.050556806148961186,850,5.94785954693661e-05,5.94785954693661e-05,0.0074939992299303095,674.6305223390227,669.916774007,0.9930128445483319,850
TGPS_parse,0.028730705613270402,181,0.0001587331801838144,3.3800830133259295e-05,0.0042587319520702525,674.6305223390227,669.916774007,0.9930128445483319,850
save_npz_compressed,0.015472825965844095,1,0.015472825965844095,1.8203324665698936e-05,0.0022935259306380035,674.6305223390227,669.916774007,0.9930128445483319,850
accumulate.TM010,0.0137246772646904,850,1.614667913492988e-05,1.614667913492988e-05,0.0020343990985028874,674.6305223390227,669.916774007,0.9930128445483319,850
accumulate.TM011,0.013172599370591342,850,1.549717573010746e-05,1.549717573010746e-05,0.0019525649869680376,674.6305223390227,669.916774007,0.9930128445483319,850
accumulate.TM012,0.013126239413395524,850,1.5442634603994736e-05,1.5442634603994736e-05,0.0019456930836578993,674.6305223390227,669.916774007,0.9930128445483319,850
midas_get_bor_odb_dump,0.010743630002252758,1,0.010743630002252758,1.2639564708532655e-05,0.0015925205940880557,674.6305223390227,669.916774007,0.9930128445483319,850
midas_open_file,0.00015398103278130293,1,0.00015398103278130293,1.8115415621329755e-07,2.282449840061086e-05,674.6305223390227,669.916774007,0.9930128445483319,850
normalization,8.6240004748106e-05,1,8.6240004748106e-05,1.0145882911541882e-07,1.278329424661989e-05,674.6305223390227,669.916774007,0.9930128445483319,850
parse_bor_odb_dump,5.7286000810563564e-05,1,5.7286000810563564e-05,6.739529507125125e-08,8.491462943589673e-06,674.6305223390227,669.916774007,0.9930128445483319,850
final_gpu_sync,4.4460175558924675e-06,1,4.4460175558924675e-06,5.230608889285256e-09,6.590300036348201e-07,674.6305223390227,669.916774007,0.9930128445483319,850
